130;30.776;2.94;28.084
131;29.974;28.634;27.353
132;29.198;27.893;26.644
133;28.445;27.173;25.957
134;27.715;26.476;25.291
135;27.043;2.58;24.613
136;26.355;25.144;23.987
137;25.688;24.507;2.338
138;25.041;2.389;22.791
139;24.413;23.291;2.222
140;23.834;2.271;21.637
141;23.231;22.135;21.089
142;22.645;21.577;20.557
143;22.077;21.035;20.041
144;21.525;2.051;19.541
145;21.016;2;19.031
146;20.504;19.513;18.567
147;20.007;1.904;18.117
148;19.524;1.858;1.768
149;19.055;18.134;17.255
150;18.624;1.77;16.822
151;18.222;17.319;16.459
152;17.832;16.947;16.106
153;17.451;16.586;15.763
154;1.708;16.233;15.428
155;16.739;1.589;15.083
156;16.349;1.552;14.732
157;1.597;1.516;14.391
158;15.602;14.811;14.059
159;15.244;14.471;13.736
160;14.914;1.414;13.406
161;14.568;13.812;13.095
162;14.233;13.494;12.793
163;13.906;13.184;1.25
164;13.588;12.883;12.214
165;13.294;1.259;11.923
166;12.988;12.301;11.649
167;12.691;12.019;11.382
168;12.402;11.745;11.123
169;12.121;11.479;10.871
170;11.861;1.122;10.613
171;11.582;10.956;10.363
172;1.131;10.699;1.012
173;11.046;10.449;0.9884
174;1.079;10.206;0.9654
175;10.551;0.997;0.9419
176;10.326;0.9757;0.9218
177;10.107;0.955;0.9023
178;0.9893;0.9348;0.8832
179;0.9685;0.9151;0.8646
180;0.9493;0.896;0.8457
181;0.9271;0.875;0.8258
182;0.9056;0.8547;0.8067
183;0.8846;0.8349;0.788
184;0.8643;0.8157;0.7699
185;0.8453;0.797;0.7514
186;0.8279;0.7806;0.736
187;0.811;0.7646;0.7209
188;0.7944;0.749;0.7062
189;0.7783;0.7338;0.6918
190;0.7633;0.719;0.6771
191;0.7463;0.7029;0.6619
192;0.7297;0.6873;0.6472
193;0.7136;0.6721;0.6329
194;0.6979;0.6574;0.6191
195;0.6835;0.643;0.6049
196;0.6698;0.6302;0.5928
197;0.6566;0.6177;0.5811
198;0.6436;0.6055;0.5696
199;0.6309;0.5936;0.5584
200;0.6192;0.582;0.5469
201;0.6082;0.5717;0.5373
202;0.5976;0.5617;0.5279
203;0.5872;0.5519;0.5187
204;0.5769;0.5423;0.5096
205;0.5677;0.533;0.5004
206;0.5565;0.5225;0.4905
207;0.5455;0.5122;0.4808
208;0.5349;0.5022;0.4715
209;0.5245;0.4925;0.4624
210;0.5149;0.483;0.4529
211;0.5046;0.4733;0.4438
212;0.4945;0.4639;0.435
213;0.4847;0.4547;0.4264
214;0.4751;0.4457;0.418
215;0.4664;0.437;0.4095
216;0.4572;0.4284;0.4014
217;0.4482;0.42;0.3935
218;0.4395;0.4118;0.3859
219;0.4309;0.4038;0.3784
220;0.423;0.396;0.3707
221;0.4149;0.3884;0.3636
222;0.407;0.381;0.3566
223;0.3994;0.3739;0.35
224;0.3918;0.3668;0.3434
225;0.385;0.36;0.3366
226;0.3778;0.3533;0.3304
227;0.3708;0.3467;0.3242
228;0.3639;0.3403;0.3182
229;0.3573;0.3341;0.3124
230;0.351;0.328;0.3065
231;0.3446;0.322;0.3009
232;0.3383;0.3161;0.2953
233;0.3322;0.3104;0.29
234;0.3262;0.3048;0.2848
235;0.3206;0.2993;0.2794
236;0.3149;0.294;0.2744
237;0.3094;0.2888;0.2696
238;0.3038;0.2836;0.2647
239;0.2984;0.2786;0.2601
240;0.2934;0.2737;0.2553
241;0.2883;0.2689;0.2508
242;0.2832;0.2642;0.2464
243;0.2783;0.2596;0.2421
244;0.2735;0.2551;0.2379
245;0.269;0.2507;0.2337
246;0.2644;0.2464;0.2296
247;0.2599;0.2422;0.2257
248;0.2554;0.238;0.2218
249;0.2511;0.234;0.2181
250;0.2471;0.23;0.2141
251;0.243;0.2262;0.2106
252;0.2388;0.2223;0.207
253;0.2348;0.2186;0.2035
254;0.2309;0.215;0.2002
255;0.2273;0.2114;0.1966
256;0.2235;0.2079;0.1934
257;0.2199;0.2045;0.1902
258;0.2162;0.2011;0.1871
259;0.2127;0.1978;0.184
260;0.2094;0.1946;0.1808
261;0.206;0.1914;0.1779
262;0.2026;0.1883;0.175
263;0.1994;0.1853;0.1722
264;0.1962;0.1823;0.1694
265;0.1932;0.1794;0.1666
266;0.1901;0.1765;0.1639
267;0.1871;0.1737;0.1613
268;0.1842;0.171;0.1588
269;0.1813;0.1683;0.1563
270;0.1785;0.1656;0.1536
271;0.1757;0.163;0.1512
272;0.1729;0.1604;0.1488
273;0.1702;0.1579;0.1465
274;0.1676;0.1555;0.1443
275;0.1652;0.1531;0.1419
276;0.1626;0.1507;0.1397
277;0.1601;0.1484;0.1375
278;0.1576;0.1461;0.1354
279;0.1553;0.1439;0.1334
280;0.153;0.1417;0.1312
281;0.1508;0.1396;0.1293
282;0.1485;0.1375;0.1273
283;0.1462;0.1354;0.1254
284;0.1441;0.1334;0.1235
285;0.142;0.1314;0.1216
286;0.14;0.1295;0.1198
287;0.1378;0.1275;0.118
288;0.1359;0.1257;0.1163
289;0.1338;0.1238;0.1145
290;0.132;0.122;0.1128
291;0.1301;0.1202;0.1111
292;0.1282;0.1185;0.1095
293;0.1264;0.1168;0.108
294;0.1245;0.1151;0.1064
295;0.1228;0.1134;0.1047
296;0.1211;0.1118;0.1033
297;0.1193;0.1102;0.1018
298;0.1176;0.1086;0.1003
299;0.116;0.1071;0.0989
300;0.1145;0.1056;0.0974
